income_group,date,consumer_confidence_index
4.1_5,2019-04-01,129.73989647255846
4.1_5,2019-05-01,128.46420968423587
4.1_5,2019-06-01,126.89623588931714
4.1_5,2019-07-01,125.39209078747758
4.1_5,2019-08-01,124.54986031212519
4.1_5,2019-09-01,121.40318438215715
4.1_5,2019-10-01,119.48843866528047
4.1_5,2019-11-01,126.12777433616594
4.1_5,2019-12-01,126.65483333262088
4.1_5,2020-01-01,122.94019311292479
4.1_5,2020-02-01,118.99490914070199
4.1_5,2020-03-01,113.58532499671165
4.1_5,2020-04-01,83.99994717973495
4.1_5,2020-05-01,79.76614149929219
4.1_5,2020-06-01,88.11079243416995
4.1_5,2020-07-01,86.7438201404903
4.1_5,2020-08-01,85.16908294519979
4.1_5,2020-09-01,85.26292288989222
4.1_5,2020-10-01,83.77749685050368
4.1_5,2020-11-01,89.38163557004427
4.1_5,2020-12-01,100.55574964730553
4.1_5,2021-01-01,88.65201711436796
4.1_5,2021-02-01,87.7752497951108
4.1_5,2021-03-01,95.37357679704436
4.1_5,2021-04-01,106.67123789827585
4.1_5,2021-05-01,106.50916604314715
above_5,2012-01-01,126.88172043010753
above_5,2012-02-01,128.48888888888888
above_5,2012-03-01,119.61506961506961
above_5,2012-04-01,120
above_5,2012-05-01,124.16891284815813
above_5,2012-06-01,129.95495495495499
above_5,2012-07-01,132.44120032441202
above_5,2012-08-01,131.68358714043993
above_5,2012-09-01,129.2630676949443
above_5,2012-10-01,128.09298660362492
above_5,2012-11-01,132.8562340966921
above_5,2012-12-01,129.27653820148748
above_5,2013-01-01,128.5
above_5,2013-02-01,124.3
above_5,2013-03-01,128.1
above_5,2013-04-01,128.1
above_5,2013-05-01,126.4
above_5,2013-06-01,131
above_5,2013-07-01,124.2
above_5,2013-08-01,123.1
above_5,2013-09-01,120.8
above_5,2013-10-01,117.2
above_5,2013-11-01,123.9
above_5,2013-12-01,124.9
above_5,2014-01-01,124.3
above_5,2014-02-01,115.4
above_5,2014-03-01,124.8
above_5,2014-04-01,125.8
above_5,2014-05-01,131.3
above_5,2014-06-01,123.4
above_5,2014-07-01,131.2
above_5,2014-08-01,133
above_5,2014-09-01,130.2
above_5,2014-10-01,124.4
above_5,2014-11-01,125.8
above_5,2014-12-01,117.1
above_5,2015-01-01,120.8
above_5,2015-02-01,120.6
above_5,2015-03-01,119.8
above_5,2015-04-01,113
above_5,2015-05-01,114.2
above_5,2015-06-01,114.3
above_5,2015-07-01,107.6
above_5,2015-08-01,108.1
above_5,2015-09-01,100.4
above_5,2015-10-01,94.8
above_5,2015-11-01,102.3
above_5,2015-12-01,107.1
above_5,2016-01-01,115.8
above_5,2016-02-01,108.8
above_5,2016-03-01,111.2
above_5,2016-04-01,108.4
above_5,2016-05-01,114.8
above_5,2016-06-01,111
above_5,2016-07-01,108.2
above_5,2016-08-01,111.3
above_5,2016-09-01,108
above_5,2016-10-01,109.8
above_5,2016-11-01,110.2
above_5,2016-12-01,112.7
above_5,2017-01-01,112.60428890414411
